"","word","sentiment"
"899","coercive","negative"
"900","cohere","positive"
"901","coherence","positive"
"902","coherent","positive"
"903","cohesive","positive"
"904","cold","negative"
"905","coldly","negative"
"906","collapse","negative"
"907","collude","negative"
"908","collusion","negative"
"909","colorful","positive"
"910","combative","negative"
"911","combust","negative"
"912","comely","positive"
"913","comfort","positive"
"914","comfortable","positive"
"915","comfortably","positive"
"916","comforting","positive"
"917","comfy","positive"
"918","comical","negative"
"919","commend","positive"
"920","commendable","positive"
"921","commendably","positive"
"922","commiserate","negative"
"923","commitment","positive"
"924","commodious","positive"
"925","commonplace","negative"
"926","commotion","negative"
"927","commotions","negative"
"928","compact","positive"
"929","compactly","positive"
"930","compassion","positive"
"931","compassionate","positive"
"932","compatible","positive"
"933","competitive","positive"
"934","complacent","negative"
"935","complain","negative"
"936","complained","negative"
"937","complaining","negative"
"938","complains","negative"
"939","complaint","negative"
"940","complaints","negative"
"941","complement","positive"
"942","complementary","positive"
"943","complemented","positive"
"944","complements","positive"
"945","complex","negative"
"946","compliant","positive"
"947","complicated","negative"
"948","complication","negative"
"949","complicit","negative"
"950","compliment","positive"
"951","complimentary","positive"
"952","comprehensive","positive"
"953","compulsion","negative"
"954","compulsive","negative"
"955","concede","negative"
"956","conceded","negative"
"957","conceit","negative"
"958","conceited","negative"
"959","concen","negative"
"960","concens","negative"
"961","concern","negative"
"962","concerned","negative"
"963","concerns","negative"
"964","concession","negative"
"965","concessions","negative"
"966","conciliate","positive"
"967","conciliatory","positive"
"968","concise","positive"
"969","condemn","negative"
"970","condemnable","negative"
"971","condemnation","negative"
"972","condemned","negative"
"973","condemns","negative"
"974","condescend","negative"
"975","condescending","negative"
"976","condescendingly","negative"
"977","condescension","negative"
"978","confess","negative"
"979","confession","negative"
"980","confessions","negative"
"981","confidence","positive"
"982","confident","positive"
"983","confined","negative"
"984","conflict","negative"
"985","conflicted","negative"
"986","conflicting","negative"
"987","conflicts","negative"
"988","confound","negative"
"989","confounded","negative"
"990","confounding","negative"
"991","confront","negative"
"992","confrontation","negative"
"993","confrontational","negative"
"994","confuse","negative"
"995","confused","negative"
"996","confuses","negative"
"997","confusing","negative"
"998","confusion","negative"
"999","confusions","negative"
"1000","congenial","positive"
"1001","congested","negative"
"1002","congestion","negative"
"1003","congratulate","positive"
"1004","congratulation","positive"
"1005","congratulations","positive"
"1006","congratulatory","positive"
"1007","cons","negative"
"1008","conscientious","positive"
"1009","conscons","negative"
"1010","conservative","negative"
"1011","considerate","positive"
"1012","consistent","positive"
"1013","consistently","positive"
"1014","conspicuous","negative"
"1015","conspicuously","negative"
"1016","conspiracies","negative"
"1017","conspiracy","negative"
"1018","conspirator","negative"
"1019","conspiratorial","negative"
"1020","conspire","negative"
"1021","consternation","negative"
"1022","constructive","positive"
"1023","consummate","positive"
"1024","contagious","negative"
"1025","contaminate","negative"
"1026","contaminated","negative"
"1027","contaminates","negative"
"1028","contaminating","negative"
"1029","contamination","negative"
"1030","contempt","negative"
"1031","contemptible","negative"
"1032","contemptuous","negative"
"1033","contemptuously","negative"
"1034","contend","negative"
"1035","contention","negative"
"1036","contentious","negative"
"1037","contentment","positive"
"1038","continuity","positive"
"1039","contort","negative"
"1040","contortions","negative"
"1041","contradict","negative"
"1042","contradiction","negative"
"1043","contradictory","negative"
"1044","contrariness","negative"
"1045","contrasty","positive"
"1046","contravene","negative"
"1047","contribution","positive"
"1048","contrive","negative"
"1049","contrived","negative"
"1050","controversial","negative"
"1051","controversy","negative"
"1052","convenience","positive"
"1053","convenient","positive"
"1054","conveniently","positive"
"1055","convience","positive"
"1056","convienient","positive"
"1057","convient","positive"
"1058","convincing","positive"
"1059","convincingly","positive"
"1060","convoluted","negative"
"1061","cool","positive"
"1062","coolest","positive"
"1063","cooperative","positive"
"1064","cooperatively","positive"
"1065","cornerstone","positive"
"1066","correct","positive"
"1067","correctly","positive"
"1068","corrode","negative"
"1069","corrosion","negative"
"1070","corrosions","negative"
"1071","corrosive","negative"
"1072","corrupt","negative"
"1073","corrupted","negative"
"1074","corrupting","negative"
"1075","corruption","negative"
"1076","corrupts","negative"
"1077","corruptted","negative"
"1078","cost-effective","positive"
"1079","cost-saving","positive"
"1080","costlier","negative"
"1081","costly","negative"
"1082","counter-attack","positive"
"1083","counter-attacks","positive"
"1084","counter-productive","negative"
"1085","counterproductive","negative"
"1086","coupists","negative"
"1087","courage","positive"
"1088","courageous","positive"
"1089","courageously","positive"
"1090","courageousness","positive"
"1091","courteous","positive"
"1092","courtly","positive"
"1093","covenant","positive"
"1094","covetous","negative"
"1095","coward","negative"
"1096","cowardly","negative"
"1097","cozy","positive"
"1098","crabby","negative"
"1099","crack","negative"
"1100","cracked","negative"
"1101","cracks","negative"
"1102","craftily","negative"
"1103","craftly","negative"
"1104","crafty","negative"
"1105","cramp","negative"
"1106","cramped","negative"
"1107","cramping","negative"
"1108","cranky","negative"
"1109","crap","negative"
"1110","crappy","negative"
"1111","craps","negative"
"1112","crash","negative"
"1113","crashed","negative"
"1114","crashes","negative"
"1115","crashing","negative"
"1116","crass","negative"
"1117","craven","negative"
"1118","cravenly","negative"
"1119","craze","negative"
"1120","crazily","negative"
"1121","craziness","negative"
"1122","crazy","negative"
"1123","creak","negative"
"1124","creaking","negative"
"1125","creaks","negative"
"1126","creative","positive"
"1127","credence","positive"
"1128","credible","positive"
"1129","credulous","negative"
"1130","creep","negative"
"1131","creeping","negative"
"1132","creeps","negative"
"1133","creepy","negative"
"1134","crept","negative"
"1135","crime","negative"
"1136","criminal","negative"
"1137","cringe","negative"
"1138","cringed","negative"
"1139","cringes","negative"
"1140","cripple","negative"
"1141","crippled","negative"
"1142","cripples","negative"
"1143","crippling","negative"
"1144","crisis","negative"
"1145","crisp","positive"
"1146","crisper","positive"
"1147","critic","negative"
"1148","critical","negative"
"1149","criticism","negative"
"1150","criticisms","negative"
"1151","criticize","negative"
"1152","criticized","negative"
"1153","criticizing","negative"
"1154","critics","negative"
"1155","cronyism","negative"
