state,statePostal,district,office,last,first,key,party,performanceInPrimary,primaryDate,runoff,incumbent,is_incumbent
Nevada,NV,S,U.S. Senate,Gazala,Sarah,gazalasarah,Republican,LOSE,6/12/18,,Dean Heller,FALSE
New Hampshire,NH,2,U.S. House,Kuster,Ann,kusterann,Democratic,WIN,9/11/18,,Kuster,TRUE
New Hampshire,NH,1,U.S. House,Andrews,Naomi,andrewsnaomi,Democratic,LOSE,9/11/18,,Open,FALSE
New Hampshire,NH,1,U.S. House,Messmer,Mindi,messmermindi,Democratic,LOSE,9/11/18,,Open,FALSE
New Hampshire,NH,1,U.S. House,Sullivan,Maura,sullivanmaura,Democratic,LOSE,9/11/18,,Open,FALSE
New Hampshire,NH,2,U.S. House,Blankenbeker,Lynne,blankenbekerlynne,Republican,LOSE,9/11/18,,Kuster,FALSE
New Jersey,NJ,12,U.S. House,Watson Coleman,Bonnie,watsoncolemanbonnie,Democratic,WIN,6/5/18,,Bonnie Watson Coleman,TRUE
New Jersey,NJ,11,U.S. House,Sherrill,Mikie,sherrillmikie,Democratic,WIN,6/5/18,,Open,FALSE
New Jersey,NJ,2,U.S. House,Youngblood,Tanzie,youngbloodtanzie,Democratic,LOSE,6/5/18,,Open,FALSE
New Jersey,NJ,11,U.S. House,Harris,Tamara,harristamara,Democratic,LOSE,6/5/18,,Open,FALSE
New Jersey,NJ,11,U.S. House,Heslin,Alison,heslinalison,Democratic,LOSE,6/5/18,,Open,FALSE
New Jersey,NJ,7,U.S. House,Brown,Lindsay,brownlindsay,Republican,LOSE,6/5/18,,Lance,FALSE
