date,time,headline,URL,teaser,section
10/12/2017,6:31 PM,What Would Happen if the U.S. Withdrew From Nafta,https://www.nytimes.com/2017/10/12/business/economy/what-would-happen-if-the-us-withdrew-from-nafta.html?partner=rss&emc=rss,President Trump says the United States may withdraw from the North American Free Trade Agreement. That would bring big changes for the economy and consumers.,NYT > Politics
10/12/2017,7:10 PM,Public Health: What Did Trump’s Health Care Executive Order Do?,https://www.nytimes.com/2017/10/12/upshot/what-did-trumps-health-care-executive-order-do.html?partner=rss&emc=rss,Nothing yet. But it could matter for people who buy their own insurance or get it from work in the long-term.,NYT > Politics
10/12/2017,6:58 PM,House Ethics Office Says New York Congressman May Have Violated Rules,https://www.nytimes.com/2017/10/12/health/collins-ethics-inquiry.html?partner=rss&emc=rss,An inquiry centered on actions by a New York Congressman who is a majority stockholder in a biotech company.,NYT > Politics
10/12/2017,7:39 PM,"White House Memo: Trump’s Chief of Staff, Speaking With Press, Walks a Verbal Tightrope",https://www.nytimes.com/2017/10/12/us/politics/john-kelly-trump-chief-of-staff.html?partner=rss&emc=rss,"The chief of staff, John F. Kelly, tried to show calm and order inside the White House while not appearing critical of the president’s lack of those qualities.",NYT > Politics
10/13/2017,3:00 AM,Right and Left React to Reports of Harvey Weinstein’s Abusive Behavior,https://www.nytimes.com/2017/10/13/us/politics/right-left-harvey-weinstein.html?partner=rss&emc=rss,Writers from across the political spectrum take on the fallout from accusations of sexual misconduct by the Hollywood producer Harvey Weinstein.,NYT > Politics
10/13/2017,5:00 AM,"Trump Won’t Certify Iran Nuclear Deal, but He Also Won’t Unravel It",https://www.nytimes.com/2017/10/13/us/politics/trump-iran-nuclear-deal.html?partner=rss&emc=rss,"President Trump will declare on Friday his intention not to certify Iran’s compliance with the 2015 accord, an act that kicks to Congress a decision about whether to reimpose sanctions on the country.",NYT > Politics
10/13/2017,5:00 AM,U.S. Corporate Tax Shake-Up Could Fuel Tension With Allies,https://www.nytimes.com/2017/10/13/business/economy/corporate-tax.html?partner=rss&emc=rss,Other countries have their eyes on the money that lawmakers want to put on American tax rolls. But a European crackdown could work in Washington’s favor.,NYT > Politics
10/13/2017,5:00 AM,Drilling in the Arctic Wildlife Refuge: How the G.O.P. Could Finally Break the Impasse,https://www.nytimes.com/2017/10/13/climate/arctic-drilling.html?partner=rss&emc=rss,The prospects for opening the Arctic National Wildlife Refuge to oil and gas exploration are better than they have been in years.,NYT > Politics
10/13/2017,5:00 AM,"How a Seed Bank, Almost Lost in Syria’s War, Could Help Feed a Warming Planet",https://www.nytimes.com/2017/10/13/climate/syria-seed-bank.html?partner=rss&emc=rss,A plant conservationist from Syria and his colleagues are safeguarding seeds that might be crucial when more parts of the world become as hot and arid as the Middle East.,NYT > Politics
10/13/2017,5:05 AM,This Is Not Arthur Laffer’s Famous Napkin,https://www.nytimes.com/2017/10/13/us/politics/arthur-laffer-napkin-tax-curve.html?partner=rss&emc=rss,The Smithsonian says that it has the most famous napkin in economic history. The available evidence suggests that’s probably not true.,NYT > Politics
10/13/2017,9:05 AM,"Reversing Course, Trump Seeks to Reassure Puerto Rico",https://www.nytimes.com/2017/10/13/us/politics/reversing-course-trump-seeks-to-reassure-puerto-rico.html?partner=rss&emc=rss,"A day after warning that he “cannot keep” troops and emergency workers in the hurricane-ravaged island “forever,” the president signals solidarity.",NYT > Politics
10/13/2017,10:20 AM,Public Health: Trump Is Telling Obamacare Insurers He Doesn’t Support the Market,https://www.nytimes.com/2017/10/13/upshot/trump-is-telling-obamacare-insurers-he-doesnt-support-the-market.html?partner=rss&emc=rss,Most plans can probably survive without the subsidies he vowed to cut off on Thursday. But he has signaled that he will use policy levers to make their business hard.,NYT > Politics
10/13/2017,10:29 AM,Europe Scrambles to Save Iran Nuclear Deal,https://www.nytimes.com/2017/10/13/world/europe/trump-iran-nuclear-deal.html?partner=rss&emc=rss,"Leaders across the continent voiced alarm at the prospect of President Trump undermining the 2015 deal, which Tehran negotiated with the U.S. and five other countries.",NYT > Politics
10/13/2017,11:49 AM,Trump Names Former Texas Regulator as White House Environmental Adviser,https://www.nytimes.com/2017/10/13/climate/trump-environmental-advisor.html?partner=rss&emc=rss,"Kathleen Hartnett White, who has called global warming a “dogma” and clean energy “parasitic” was nominated to lead the Council on Environmental Quality.",NYT > Politics
10/13/2017,1:01 PM,Seven Takeaways From the Times Journalists Who Cover Trump,https://www.nytimes.com/2017/10/13/insider/seven-takeaways-from-the-times-journalists-who-cover-trump.html?partner=rss&emc=rss,"Dean Baquet, our executive editor, discussed with the White House correspondents Peter Baker and Maggie Haberman The Times’s approach to covering President Trump.",NYT > Politics
10/13/2017,2:09 PM,Zinke Vows to End ‘Virus’ of Harassment in Park Service,https://www.nytimes.com/2017/10/13/us/politics/zinke-harassment-park-service.html?partner=rss&emc=rss,Interior Secretary Ryan Zinke outlined new initiatives to deal with harassment in the National Park Service after the release of an internal survey.,NYT > Politics
10/13/2017,3:02 PM,Why Trump Hates the Iran Nuclear Deal,https://www.nytimes.com/video/us/politics/100000005494905/why-trump-hates-the-iran-nuclear-deal.html?partner=rss&emc=rss,"President Trump has called the Iran nuclear deal the “worst deal ever.” David E. Sanger, the national security correspondent for the Times, explains why the president is against the deal, and what that means for its future.",NYT > Politics
10/13/2017,5:44 PM,"Guantánamo Defendant Is Sentenced, in Rare Success for Military Commission",https://www.nytimes.com/2017/10/13/us/politics/guantanamo-defendant-sentenced-darbi.html?partner=rss&emc=rss,"A Guantánamo military commission sentenced a Saudi detainee to 13 years in prison for terrorism offenses, even as defense lawyers quit another case before the tribunal.",NYT > Politics
10/13/2017,5:49 PM,"Mnuchin, Contradicting Trump, Says Estate Tax Repeal Will Help ‘Rich People’",https://www.nytimes.com/2017/10/13/us/politics/mnuchin-estate-tax-repeal-help-rich.html?partner=rss&emc=rss,Treasury Secretary Steven Mnuchin said repealing the estate tax will help the rich. Those comments stand in contrast to President Trump’s claim that the tax hurts the working class.,NYT > Politics
